Ville_code_postal,Commune,code_insee
Paris (75),Paris,75056
Paris 10ème (75010),Paris,75056
Paris 11ème (75011),Paris,75056
Paris 12ème (75012),Paris,75056
Paris 13ème (75013),Paris,75056
Paris 14ème (75014),Paris,75056
Paris 15ème (75015),Paris,75056
Paris 16ème (75116),Paris,75056
Paris 16ème (75016),Paris,75056
Paris 17ème (75017),Paris,75056
Paris 18ème (75018),Paris,75056
Paris 19ème (75019),Paris,75056
Paris 1er (75001),Paris,75056
Paris 20ème (75020),Paris,75056
Paris 2ème (75002),Paris,75056
Paris 3ème (75003),Paris,75056
Paris 4ème (75004),Paris,75056
Paris 5ème (75005),Paris,75056
Paris 6ème (75006),Paris,75056
Paris 7ème (75007),Paris,75056
Paris 8ème (75008),Paris,75056
Paris 9ème (75009),Paris,75056
Bouville (91880),Bouville,76135
Guerville (78930),Guerville,76333
Massy (91300),Massy,76415
Annet-sur-Marne (77410),Annet-sur-Marne,77005
Avon (77210),Avon,77014
Barbizon (77630),Barbizon,77022
Beaumont-du-Gâtinais (77890),Beaumont-du-Gâtinais,77027
Bellot (77510),Bellot,77030
Bray-sur-Seine (77480),Bray-sur-Seine,77051
Brie-Comte-Robert (77170),Brie-Comte-Robert,77053
Bussy-Saint-Georges (77600),Bussy-Saint-Georges,77058
Cesson (77240),Cesson,77067
Cessoy-en-Montois (77520),Cessoy-en-Montois,77068
Champagne-sur-Seine (77430),Champagne-sur-Seine,77079
Champs-sur-Marne (77420),Champs-sur-Marne,77083
Chelles (77500),Chelles,77108
Chessy (77700),Chessy,77111
Choisy-en-Brie (77320),Choisy-en-Brie,77116
Claye-Souilly (77410),Claye-Souilly,77118
Coubert (77170),Coubert,77127
Coulommiers (77120),Coulommiers,77131
Coutevroult (77580),Coutevroult,77141
Crécy-la-Chapelle (77580),Crécy-la-Chapelle,77142
Crouy-sur-Ourcq (77840),Crouy-sur-Ourcq,77148
Dagny (77320),Dagny,77151
Dammarie-les-Lys (77190),Dammarie-les-Lys,77152
Donnemarie-Dontilly (77520),Donnemarie-Dontilly,77159
Emerainville (77184),Emerainville,77169
Faremoutiers (77515),Faremoutiers,77176
Ferrières-en-Brie (77164),Ferrières-en-Brie,77181
La Ferté-sous-Jouarre (77260),La Ferté-sous-Jouarre,77183
Fontainebleau (77300),Fontainebleau,77186
Gouvernes (77400),Gouvernes,77209
Gretz-Armainvilliers (77220),Gretz-Armainvilliers,77215
Grisy-Suisnes (77166),Grisy-Suisnes,77217
Héricy (77850),Héricy,77226
Lagny-sur-Marne (77400),Lagny-sur-Marne,77243
Larchant (77760),Larchant,77244
Lésigny (77150),Lésigny,77249
Lieusaint (77127),Lieusaint,77251
Lizy-sur-Ourcq (77440),Lizy-sur-Ourcq,77257
Lognes (77185),Lognes,77258
