INSEE_COM,DENS3,DENS7,SERVICES POUR LES PARTICULIERS,COMMERCES,ENSEIGNEMENT,SANTÉ ET ACTION SOCIALE,TRANSPORTS ET DÉPLACEMENTS,"SPORTS, LOISIRS ET CULTURE",TOURISME,SERVICES PUBLICS,SERVICES GÉNÉRAUX,SERVICES AUTOMOBILES,ARTISANAT DU BÂTIMENT,AUTRES SERVICES,GRANDES SURFACES,COMMERCES ALIMENTAIRES,COMMERCES SPÉCIALISÉS NON-ALIMENTAIRES,ENSEIGNEMENT DU PREMIER DEGRÉ,ENSEIGNEMENT DU SECOND DEGRÉ - PREMIER CYCLE,ENSEIGNEMENT DU SECOND DEGRÉ - SECOND CYCLE,ENSEIGNEMENT SUPÉRIEUR NON-UNIVERSITAIRE,ENSEIGNEMENT SUPÉRIEUR UNIVERSITAIRE,FORMATION CONTINUE,AUTRES SERVICES DE L’ÉDUCATION,ETABLISSEMENTS ET SERVICES DE SANTÉ,FONCTIONS MÉDICALES ET PARAMÉDICALES (À TITRE LIBÉRAL),AUTRES ÉTABLISSEMENTS ET SERVICES À CARACTÈRE SANITAIRE,ACTION SOCIALE POUR PERSONNES ÂGÉES,ACTION SOCIALE POUR ENFANTS EN BAS-ÂGE,ACTION SOCIALE POUR HANDICAPÉS,AUTRES SERVICES D’ACTION SOCIALE,INFRASTRUCTURES DE TRANSPORTS,EQUIPEMENTS SPORTIFS,EQUIPEMENTS DE LOISIRS,EQUIPEMENTS CULTURELS ET SOCIOCULTURELS,TOURISME
1001,3,6,15,0,1,0,0,5,0,1,0,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
1002,3,6,5,0,0,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1004,2,2,323,143,14,253,10,41,4,6,13,48,111,145,7,43,93,7,2,2,0,0,3,0,11,207,6,4,11,5,9,10,35,3,3,4
1005,3,5,42,9,1,13,0,10,3,1,2,6,23,10,0,3,6,1,0,0,0,0,0,0,0,9,1,1,1,1,0,0,9,0,1,3
1006,3,6,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1007,3,6,49,6,2,20,2,13,0,1,1,4,25,18,0,4,2,2,0,0,0,0,0,0,1,13,1,0,3,2,0,2,9,2,2,0
1008,2,4,22,5,1,1,0,7,0,1,0,5,12,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0
1009,3,6,2,2,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010,3,5,23,2,1,2,0,9,2,1,1,5,11,5,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,1,2
1011,3,6,6,0,1,0,2,2,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
1012,3,6,9,1,1,0,0,4,1,1,0,2,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
1013,3,7,2,0,1,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
1014,2,4,80,48,5,28,3,18,1,1,1,18,33,27,3,5,40,4,1,0,0,0,0,0,0,22,1,1,4,0,0,3,16,1,1,1
1015,3,6,13,0,1,0,0,4,0,1,0,2,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
1016,3,6,9,1,0,0,0,1,1,1,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1017,3,6,10,1,1,1,0,5,0,1,1,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0
1019,3,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1021,3,5,24,4,2,12,0,8,2,1,1,2,7,13,0,3,1,2,0,0,0,0,0,0,0,10,1,0,1,0,0,0,6,0,2,2
1022,3,5,25,12,3,22,0,7,1,1,2,6,7,9,1,8,3,2,1,0,0,0,0,0,1,17,1,1,2,0,0,0,5,1,1,1
1023,3,6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024,3,5,61,13,2,26,1,8,1,2,2,12,24,21,0,6,7,2,0,0,0,0,0,0,0,18,3,1,3,1,0,1,6,1,1,1
1025,3,6,47,9,3,16,1,16,1,1,0,11,23,12,1,5,3,2,1,0,0,0,0,0,0,9,1,2,4,0,0,1,14,0,2,1
1026,3,5,18,4,3,11,0,5,0,1,3,1,3,10,0,2,2,1,0,1,0,0,1,0,1,10,0,0,0,0,0,0,4,0,1,0
1027,3,5,54,9,3,6,2,11,0,1,0,11,30,12,0,6,3,2,0,0,0,0,1,0,0,4,0,0,2,0,0,2,10,0,1,0
1028,3,6,15,0,1,0,2,9,0,1,0,2,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0
1029,3,6,9,2,1,2,0,7,0,1,1,2,4,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,1,0
1030,2,4,24,2,1,0,1,8,0,1,1,0,12,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0
1031,2,2,56,17,9,16,1,21,2,1,1,17,17,20,1,5,11,4,0,2,0,1,2,0,1,10,1,1,3,0,0,1,20,1,0,2
1032,3,5,63,10,4,24,6,9,0,1,1,8,31,22,1,5,4,2,0,0,1,0,1,0,0,19,1,1,3,0,0,6,8,0,1,0
1033,2,2,374,98,13,113,8,62,7,5,19,43,168,139,5,34,59,8,2,2,0,0,1,0,5,75,8,4,14,5,2,8,51,4,7,7
1034,2,3,246,101,13,157,3,25,4,8,12,31,91,104,5,32,64,5,2,4,1,0,1,0,11,119,6,6,6,8,1,3,20,1,4,4
1035,3,6,3,1,0,0,0,6,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
1036,3,6,18,1,0,0,1,9,1,1,0,5,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1
1037,3,6,3,0,1,1,0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
1038,3,6,16,1,1,2,0,6,0,1,0,2,10,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0
1040,3,6,7,0,1,1,0,8,0,1,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0
1041,2,4,12,1,1,0,0,4,0,1,0,2,6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
1042,3,6,3,1,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1043,2,2,132,80,3,48,8,18,3,1,2,14,61,54,8,11,61,2,1,0,0,0,0,0,1,36,2,2,6,1,0,8,17,0,1,3
1044,3,6,9,1,1,0,1,2,1,1,1,1,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
1045,3,6,6,0,0,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1046,3,6,17,0,1,3,0,6,0,1,1,2,10,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0
1047,3,6,31,2,1,6,2,9,1,1,1,2,17,10,0,1,1,1,0,0,0,0,0,0,0,4,0,0,1,1,0,2,7,1,1,1
1049,2,4,83,7,4,23,1,16,1,2,1,12,37,31,2,3,2,2,0,1,0,0,1,0,0,20,1,0,2,0,0,1,15,0,1,1
1050,3,6,4,0,1,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1051,3,7,5,0,0,0,1,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
1052,3,7,10,1,0,0,0,0,0,1,0,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,2,2,851,387,75,585,19,154,22,22,34,103,236,456,15,93,279,22,7,10,7,6,22,1,32,442,18,16,29,30,18,19,137,3,14,22
1054,3,5,16,0,1,0,0,6,0,1,0,0,12,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
1056,3,6,4,1,0,0,1,4,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
1057,3,6,11,0,1,0,0,3,0,1,0,1,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
1058,3,6,20,3,1,9,1,13,0,1,1,3,10,5,0,3,0,1,0,0,0,0,0,0,0,5,0,0,3,0,1,1,9,3,1,0
1060,3,6,11,3,1,8,0,8,0,1,1,1,5,3,0,2,1,1,0,0,0,0,0,0,0,6,0,1,1,0,0,0,6,1,1,0
1061,3,6,25,1,1,1,0,6,0,1,0,2,16,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0
1062,2,4,19,1,1,1,2,5,0,1,0,3,12,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0
1063,2,3,10,0,1,2,1,8,0,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,1,0,0
1064,3,6,29,3,2,2,2,4,0,1,1,4,17,6,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,0
